DATE,STATE,CONFIRMED,RECOVERED,DECEASED,TOTAL TESTED
18-04-2021,Chandigarh,625,411,3,3550
20-04-2021,Rajasthan,12201,3207,64,85843
22-04-2021,Delhi,26169,19609,306,72208
12-05-2021,Haryana,12490,14264,165,68122
12-05-2021,Arunachal Pradesh,279,108,1,3334
14-05-2021,Chhattisgarh,7594,10908,172,63094
19-05-2021,Goa,1209,2160,31,3873
25-05-2021,Nagaland,276,161,18,1037
03-04-2021,Rajasthan,1675,418,3,26774
18-04-2021,Bihar,8690,3460,27,100604
26-04-2021,Goa,2321,712,38,6772
28-04-2021,Madhya Pradesh,12758,14156,105,58695
03-05-2021,Jharkhand,6899,5614,129,51527
06-05-2021,Delhi,19133,20028,335,78780
08-05-2021,Nagaland,333,19,15,12174
19-05-2021,Karnataka,34281,49951,468,129538
02-04-2021,Haryana,1861,1191,10,29128
04-04-2021,Chhattisgarh,5250,3076,36,26911
10-04-2021,Jharkhand,2373,667,17,28874
15-04-2021,Nagaland,42,3,\N,246
26-04-2021,Karnataka,29744,10663,201,166407
27-04-2021,Telangana,10122,6446,52,99638
28-04-2021,Gujarat,14120,8595,174,173909
01-05-2021,Manipur,319,79,5,2222
15-05-2021,Lakshadweep,82,95,\N,403
19-05-2021,Uttar Pradesh,7186,19669,280,299928
20-05-2021,Assam,6573,3071,74,102684
09-04-2021,Bihar,2174,318,3,90751
22-04-2021,Lakshadweep,145,34,\N,1907
26-04-2021,Uttar Pradesh,33551,26719,249,176720
01-05-2021,Uttarakhand,5493,3644,107,32568
03-05-2021,Assam,4489,2534,29,55939
13-05-2021,Odisha,10649,8665,19,51451
22-05-2021,Punjab,5297,7363,201,80128
23-05-2021,Andhra Pradesh,18767,20109,104,91629
05-04-2021,Lakshadweep,3,8,\N,374
08-04-2021,Kerala,4353,2205,18,63901
09-04-2021,Uttar Pradesh,9587,583,36,197653
10-04-2021,Assam,405,79,2,68075
19-04-2021,Jammu and Kashmir,1516,813,6,34092
20-04-2021,Odisha,4761,1740,5,32349
30-04-2021,Andhra Pradesh,17354,8468,64,86494
06-05-2021,Tripura,300,75,3,5352
06-05-2021,Andhra Pradesh,21954,10141,72,110147
08-05-2021,Meghalaya,375,152,11,2955
14-05-2021,Rajasthan,14289,13270,155,67789
13-04-2021,Tripura,62,7,\N,2099
13-04-2021,Andhra Pradesh,4228,1483,10,35582
15-04-2021,Meghalaya,97,3,\N,1707
19-04-2021,Chandigarh,612,429,4,3006
21-04-2021,Rajasthan,14622,3765,62,80981
01-05-2021,Puducherry,1379,623,12,6531
13-05-2021,Haryana,12286,16041,163,65141
15-05-2021,Chhattisgarh,7664,13098,129,70239
21-05-2021,Jharkhand,2151,4117,46,54146
20-04-2021,Haryana,7811,3367,35,46756
20-04-2021,Arunachal Pradesh,61,15,\N,1992
