Date,State,Confirmed,Recovered,Deceased,Total Tested
12-04-2021,Uttar Pradesh,13604,3197,72,193468
12-04-2021,Kerala,5692,2474,11,45417
12-04-2021,Nagaland,12,0,0,186
12-04-2021,Meghalaya,26,23,0,1083
12-04-2021,Delhi,11491,7665,72,92397
12-04-2021,Lakshadweep,14,1,0,361
12-04-2021,Chhattisgarh,13576,4865,132,45997
12-04-2021,Rajasthan,5771,1291,25,26318
12-04-2021,Punjab,3451,3407,52,22586
12-04-2021,Jharkhand,2366,937,19,37028
12-04-2021,Assam,583,98,0,102182
12-04-2021,Himachal Pradesh,1008,381,9,6347
12-04-2021,Mizoram,7,10,1,520
13-04-2021,Maharashtra,60223,31624,281,237658
13-04-2021,Madhya Pradesh,8998,4070,40,46526
13-04-2021,Gujarat,6690,2748,67,149329
13-04-2021,Chandigarh,397,381,1,2785
13-04-2021,Bihar,4157,1047,14,93523
13-04-2021,Andhra Pradesh,4228,1483,10,35582
13-04-2021,Tripura,62,7,0,2099
13-04-2021,Odisha,1784,523,2,28013
13-04-2021,Arunachal Pradesh,14,0,0,638
13-04-2021,Haryana,3845,2109,16,34828
13-04-2021,Manipur,26,11,0,811
13-04-2021,Uttarakhand,1925,405,13,46126
13-04-2021,Andaman and Nicobar Islands,8,4,0,2075
13-04-2021,Puducherry,418,209,3,5050
13-04-2021,Tamil Nadu,6984,3289,18,83332
13-04-2021,West Bengal,4817,2278,20,42214
13-04-2021,Jammu and Kashmir,1269,493,3,37016
13-04-2021,Telangana,3052,778,7,113007
13-04-2021,Goa,562,236,3,2507
13-04-2021,Karnataka,8778,6079,67,121899
13-04-2021,Uttar Pradesh,17963,3474,85,219011
13-04-2021,Kerala,7515,2959,20,73441
13-04-2021,Nagaland,12,3,0,267
13-04-2021,Meghalaya,87,10,0,2202
13-04-2021,Delhi,13468,7972,81,102460
13-04-2021,Lakshadweep,21,9,0,335
13-04-2021,Chhattisgarh,15121,4682,156,53793
13-04-2021,Rajasthan,5528,1251,28,59209
13-04-2021,Punjab,2980,2612,50,39037
13-04-2021,Jharkhand,2844,1003,29,36674
13-04-2021,Assam,590,52,1,59310
13-04-2021,Himachal Pradesh,619,408,11,8730
13-04-2021,Mizoram,36,1,0,1660
14-04-2021,Maharashtra,58974,39624,278,242149
14-04-2021,Madhya Pradesh,9720,3657,51,44732
14-04-2021,Gujarat,7410,2642,73,153072
14-04-2021,Chandigarh,421,417,3,3085
14-04-2021,Bihar,4786,1189,21,100134
14-04-2021,Andhra Pradesh,4157,1606,18,35732
14-04-2021,Tripura,39,22,0,2083
14-04-2021,Odisha,2267,610,3,33251
14-04-2021,Arunachal Pradesh,10,1,0,296
14-04-2021,Haryana,5398,2166,18,39543
14-04-2021,Manipur,21,6,0,849
14-04-2021,Uttarakhand,1993,483,13,45256
14-04-2021,Andaman and Nicobar Islands,38,24,1,1874
14-04-2021,Puducherry,476,242,2,4376
14-04-2021,Tamil Nadu,7819,3464,25,97668
14-04-2021,West Bengal,5892,2297,24,43463
14-04-2021,Jammu and Kashmir,1086,372,5,37959
14-04-2021,Telangana,2157,821,8,72364
14-04-2021,Goa,473,245,4,2236
14-04-2021,Karnataka,11265,4364,38,113242
14-04-2021,Uttar Pradesh,20439,4517,67,210796
14-04-2021,Kerala,8779,2642,22,65258
14-04-2021,Nagaland,15,102,0,344
14-04-2021,Meghalaya,98,5,0,2711
14-04-2021,Delhi,17282,9952,104,108534
14-04-2021,Lakshadweep,11,0,0,444
14-04-2021,Chhattisgarh,14250,4633,120,46528
14-04-2021,Rajasthan,6200,1956,29,39886
14-04-2021,Punjab,3302,3173,63,32242
14-04-2021,Jharkhand,3198,1798,31,37586
14-04-2021,Assam,385,106,3,30065
14-04-2021,Himachal Pradesh,925,252,13,7638
14-04-2021,Mizoram,30,1,0,1890
15-04-2021,Maharashtra,61716,53335,349,234452
15-04-2021,Madhya Pradesh,10166,3970,53,47820
15-04-2021,Gujarat,8152,3023,81,159115
15-04-2021,Chandigarh,412,409,3,2964
15-04-2021,Bihar,6133,755,24,101236
15-04-2021,Andhra Pradesh,5086,1745,14,35741
15-04-2021,Odisha,2989,837,2,34571
15-04-2021,Arunachal Pradesh,8,6,0,211
15-04-2021,Haryana,5858,2743,18,31493
15-04-2021,Manipur,18,10,0,849
15-04-2021,Uttarakhand,2320,397,9,38611
15-04-2021,Andaman and Nicobar Islands,15,4,0,2054
15-04-2021,Puducherry,413,176,1,2811
15-04-2021,Tamil Nadu,7987,4176,29,95387
15-04-2021,West Bengal,6769,2387,22,42121
15-04-2021,Jammu and Kashmir,1141,487,4,36794
15-04-2021,Telangana,3307,897,8,106627
15-04-2021,Goa,757,182,5,2711
15-04-2021,Karnataka,14738,3591,66,129400
15-04-2021,Uttar Pradesh,22339,4222,104,206409
15-04-2021,Kerala,8127,2700,20,60900
15-04-2021,Nagaland,43,3,0,246
15-04-2021,Meghalaya,97,3,0,1707
15-04-2021,Delhi,16699,13014,112,82569
15-04-2021,Lakshadweep,56,8,0,524
15-04-2021,Chhattisgarh,15256,11988,135,53454
15-04-2021,Rajasthan,6658,2254,33,43383
15-04-2021,Punjab,4311,2478,50,33688
15-04-2021,Jharkhand,3480,1325,28,38110
15-04-2021,Assam,499,85,1,18323
15-04-2021,Himachal Pradesh,1035,589,11,5815
15-04-2021,Mizoram,37,7,0,2317
16-04-2021,Maharashtra,63751,45335,398,272226
16-04-2021,Madhya Pradesh,11045,7496,60,49903
16-04-2021,Gujarat,8920,3387,94,160975
16-04-2021,Chandigarh,481,428,1,3025
16-04-2021,Bihar,6253,1853,13,100404
16-04-2021,Andhra Pradesh,6096,2194,20,35962
16-04-2021,Tripura,31,7,0,1580
16-04-2021,Odisha,3108,952,3,31891
16-04-2021,Arunachal Pradesh,28,2,0,571
16-04-2021,Haryana,6277,2958,20,41658
16-04-2021,Manipur,31,7,0,1193
16-04-2021,Uttarakhand,2645,1080,17,32944
16-04-2021,Andaman and Nicobar Islands,27,28,0,2004
16-04-2021,Puducherry,531,220,3,4714
16-04-2021,Tamil Nadu,8449,4920,33,97201
16-04-2021,West Bengal,6910,2818,26,40153
16-04-2021,Jammu and Kashmir,1144,562,2,35012
16-04-2021,Telangana,3840,1198,9,121880
16-04-2021,Goa,927,282,6,3189
16-04-2021,Karnataka,14859,4027,78,133737
