Entry_ID,Date Announced,Detected District,Detected State,State code,Num Cases,Current Status
611907,18-05-2021,Gorakhpur,Uttar Pradesh,UP,294,Hospitalized
611908,18-05-2021,Ghaziabad,Uttar Pradesh,UP,288,Hospitalized
611909,18-05-2021,Bareilly,Uttar Pradesh,UP,150,Hospitalized
611910,18-05-2021,Moradabad,Uttar Pradesh,UP,176,Hospitalized
611911,18-05-2021,Jhansi,Uttar Pradesh,UP,27,Hospitalized
611912,18-05-2021,Saharanpur,Uttar Pradesh,UP,370,Hospitalized
611913,18-05-2021,Muzaffarnagar,Uttar Pradesh,UP,341,Hospitalized
611914,18-05-2021,Agra,Uttar Pradesh,UP,112,Hospitalized
611915,18-05-2021,Lakhimpur Kheri,Uttar Pradesh,UP,90,Hospitalized
611916,18-05-2021,Ballia,Uttar Pradesh,UP,70,Hospitalized
611917,18-05-2021,Jaunpur,Uttar Pradesh,UP,168,Hospitalized
611918,18-05-2021,Ghazipur,Uttar Pradesh,UP,44,Hospitalized
611919,18-05-2021,Aligarh,Uttar Pradesh,UP,83,Hospitalized
611920,18-05-2021,Mathura,Uttar Pradesh,UP,223,Hospitalized
611921,18-05-2021,Shahjahanpur,Uttar Pradesh,UP,197,Hospitalized
611922,18-05-2021,Barabanki,Uttar Pradesh,UP,142,Hospitalized
611923,18-05-2021,Bulandshahr,Uttar Pradesh,UP,250,Hospitalized
611924,18-05-2021,Azamgarh,Uttar Pradesh,UP,80,Hospitalized
611925,18-05-2021,Rae Bareli,Uttar Pradesh,UP,133,Hospitalized
611926,18-05-2021,Ayodhya,Uttar Pradesh,UP,170,Hospitalized
611927,18-05-2021,Sonbhadra,Uttar Pradesh,UP,61,Hospitalized
611928,18-05-2021,Chandauli,Uttar Pradesh,UP,53,Hospitalized
611929,18-05-2021,Amroha,Uttar Pradesh,UP,132,Hospitalized
611930,18-05-2021,Pratapgarh,Uttar Pradesh,UP,73,Hospitalized
611931,18-05-2021,Kushinagar,Uttar Pradesh,UP,137,Hospitalized
611932,18-05-2021,Unnao,Uttar Pradesh,UP,98,Hospitalized
611933,18-05-2021,Budaun,Uttar Pradesh,UP,112,Hospitalized
611934,18-05-2021,Sultanpur,Uttar Pradesh,UP,86,Hospitalized
611935,18-05-2021,Bijnor,Uttar Pradesh,UP,100,Hospitalized
611936,18-05-2021,Etawah,Uttar Pradesh,UP,35,Hospitalized
611937,18-05-2021,Hardoi,Uttar Pradesh,UP,63,Hospitalized
611938,18-05-2021,Lalitpur,Uttar Pradesh,UP,15,Hospitalized
611939,18-05-2021,Sitapur,Uttar Pradesh,UP,45,Hospitalized
611940,18-05-2021,Maharajganj,Uttar Pradesh,UP,153,Hospitalized
611941,18-05-2021,Gonda,Uttar Pradesh,UP,38,Hospitalized
611942,18-05-2021,Shamli,Uttar Pradesh,UP,92,Hospitalized
611943,18-05-2021,Lucknow,Uttar Pradesh,UP,1459,Recovered
611944,18-05-2021,Varanasi,Uttar Pradesh,UP,708,Recovered
611945,18-05-2021,Kanpur Nagar,Uttar Pradesh,UP,662,Recovered
611946,18-05-2021,Prayagraj,Uttar Pradesh,UP,1132,Recovered
611947,18-05-2021,Meerut,Uttar Pradesh,UP,1662,Recovered
611948,18-05-2021,Gautam Buddha Nagar,Uttar Pradesh,UP,907,Recovered
611949,18-05-2021,Gorakhpur,Uttar Pradesh,UP,859,Recovered
611950,18-05-2021,Ghaziabad,Uttar Pradesh,UP,628,Recovered
611951,18-05-2021,Bareilly,Uttar Pradesh,UP,483,Recovered
611952,18-05-2021,Moradabad,Uttar Pradesh,UP,665,Recovered
611953,18-05-2021,Jhansi,Uttar Pradesh,UP,547,Recovered
611954,18-05-2021,Saharanpur,Uttar Pradesh,UP,671,Recovered
611955,18-05-2021,Muzaffarnagar,Uttar Pradesh,UP,519,Recovered
611956,18-05-2021,Agra,Uttar Pradesh,UP,262,Recovered
611957,18-05-2021,Lakhimpur Kheri,Uttar Pradesh,UP,250,Recovered
611958,18-05-2021,Ballia,Uttar Pradesh,UP,406,Recovered
611959,18-05-2021,Jaunpur,Uttar Pradesh,UP,240,Recovered
611960,18-05-2021,Ghazipur,Uttar Pradesh,UP,332,Recovered
611961,18-05-2021,Aligarh,Uttar Pradesh,UP,298,Recovered
611962,18-05-2021,Mathura,Uttar Pradesh,UP,303,Recovered
611963,18-05-2021,Shahjahanpur,Uttar Pradesh,UP,372,Recovered
611964,18-05-2021,Barabanki,Uttar Pradesh,UP,136,Recovered
611965,18-05-2021,Bulandshahr,Uttar Pradesh,UP,402,Recovered
611966,18-05-2021,Azamgarh,Uttar Pradesh,UP,121,Recovered
611967,18-05-2021,Rae Bareli,Uttar Pradesh,UP,84,Recovered
611968,18-05-2021,Ayodhya,Uttar Pradesh,UP,142,Recovered
611969,18-05-2021,Sonbhadra,Uttar Pradesh,UP,204,Recovered
611970,18-05-2021,Chandauli,Uttar Pradesh,UP,166,Recovered
611971,18-05-2021,Amroha,Uttar Pradesh,UP,371,Recovered
611972,18-05-2021,Pratapgarh,Uttar Pradesh,UP,310,Recovered
611973,18-05-2021,Kushinagar,Uttar Pradesh,UP,195,Recovered
611974,18-05-2021,Unnao,Uttar Pradesh,UP,225,Recovered
611975,18-05-2021,Budaun,Uttar Pradesh,UP,314,Recovered
611976,18-05-2021,Sultanpur,Uttar Pradesh,UP,135,Recovered
611977,18-05-2021,Bijnor,Uttar Pradesh,UP,262,Recovered
611978,18-05-2021,Etawah,Uttar Pradesh,UP,126,Recovered
611979,18-05-2021,Hardoi,Uttar Pradesh,UP,76,Recovered
611980,18-05-2021,Lalitpur,Uttar Pradesh,UP,214,Recovered
611981,18-05-2021,Sitapur,Uttar Pradesh,UP,141,Recovered
611982,18-05-2021,Maharajganj,Uttar Pradesh,UP,177,Recovered
611983,18-05-2021,Gonda,Uttar Pradesh,UP,183,Recovered
611984,18-05-2021,Shamli,Uttar Pradesh,UP,421,Recovered
611985,18-05-2021,Lucknow,Uttar Pradesh,UP,19,Deceased
611986,18-05-2021,Varanasi,Uttar Pradesh,UP,9,Deceased
611987,18-05-2021,Kanpur Nagar,Uttar Pradesh,UP,12,Deceased
611988,18-05-2021,Prayagraj,Uttar Pradesh,UP,5,Deceased
611989,18-05-2021,Meerut,Uttar Pradesh,UP,20,Deceased
